id_emploi;id_employe
1;1
1;2
2;2
3;3
4;4
5;5
6;6
7;7
8;8
8;9
8;10
8;11
8;12
8;13
9;14
9;15
10;16
11;16
33;16
12;17
13;18
15;19
16;20
17;21
18;22
19;23
20;24
22;25
23;26
24;27
25;27
26;28
26;29
26;30
26;31
26;32
26;33
26;34
27;35
27;36
27;37
28;38
28;39
28;40
28;41
29;42
29;43
30;44
30;45
30;46
30;47
30;48
30;49
31;50
31;51
31;52
31;53
32;54
34;55
35;55
37;55
38;55
39;56
39;57
41;58
42;59
54;59
42;60
54;60
42;61
54;61
42;62
54;62
42;63
54;63
42;64
54;64
43;65
43;66
43;67
43;68
43;69
43;70
44;71
44;72
44;73
44;74
44;75
44;76
44;77
45;78
45;79
45;80
45;81
45;82
45;83
45;84
45;85
46;86
46;87
46;88
46;89
46;90
46;91
46;92
48;93
48;94
48;95
49;96
49;97
49;98
49;99
49;100
49;101
50;102
50;103
51;104
51;105
51;106
51;107
51;108
51;109
51;110
52;111
52;112
52;113
52;114
52;115
52;116
52;117
52;118
52;119
52;120
53;121
53;122
53;123
53;124
53;125
53;126
53;127
53;128
53;129
53;130
53;131
53;132
53;133
53;134
53;135
53;136
53;137
53;138
53;139
53;140
53;141
53;142
53;143
53;144
53;145
53;146
53;147
53;148
53;149
53;150
53;151
53;152
53;153
53;154
53;155
54;156
54;157
54;158
55;159
56;160
56;161
56;162
56;163
56;164
56;165
57;166
58;166
58;167
59;167
60;168
60;169
61;170
61;171
61;172
61;173
61;174
61;175
61;176
61;177
61;178
63;179
64;180
66;181
66;182
67;183
67;184
67;185
67;186
68;187
68;188
68;189
68;190
69;191
70;192
70;193
71;194
72;195
72;196
72;197
72;198
72;200
72;201
72;202
72;203
72;204
72;205
72;206
73;207
74;208
76;209
76;210
77;211
77;212
79;213
80;214
81;215
81;216
81;217
81;218
